source,target,weight
558140035,550510477,1
499793772,249869630,1
876286676,2800578650,1
888999812082933760,531508303,1
319639400,728910008138764288,1
1964228874,1342319636,1
499793772,904001169248448513,1
1334662188,783740016715522048,1
2976169083,431177356,1
2991955251,1049004954,1
2948791281,196134777,1
3879369021,958154509,1
280124624,4827311008,1
1964228874,707333488035368960,1
3330139223,536435197,1
830438448,926407364303114242,1
700639918339428353,927304914581237760,1
700639918339428353,906430910203138053,1
2913929512,22799864,1
858710047525928960,889285709932187648,1
862326791008071680,216688496,1
226550182,2482712484,1
830438448,1934883001,1
3064353419,319639400,1
3330139223,935982450223796224,1
46352298,1412230921,1
876286676,891628961175932928,1
2976169083,866284412253736960,1
3330139223,906271274279849985,1
2734975089,280826651,1
1334662188,930402180397400065,1
2800039531,858953686046912512,1
2976169083,1334662188,1
2976169083,463149099,1
2991955251,919006014808231939,1
245037674,359567848,1
2549528592,887332860579000320,1
1964228874,633557421,1
627412337,87905617,1
2948791281,196646702,1
1334662188,221483128,1
2913929512,1334662188,1
2734975089,871865331316391937,1
2549528592,995021599,1
499793772,2577403796,1
2913929512,947315074393182208,1
1334662188,4875130401,1
724160358181642240,882280439062384641,1
700639918339428353,905640845738745857,1
724160358181642240,926407364303114242,1
337972171,944881252187934720,1
876286676,2499698294,1
2800039531,1261644800,1
3064353419,940679877006573568,1
3064353419,728910008138764288,1
123705679,848860140489101312,1
700639918339428353,51207002,1
2913929512,2165241247,1
3879369021,157929377,1
196134777,27608498,1
2165241247,947855908628979713,1
700639918339428353,275607560,1
627412337,718906625516552192,1
724160358181642240,3313353694,1
2231866127,928613265881657344,1
22844335,1157327636,1
22844335,958537532,1
2231866127,223563700,1
2573661345,909374755458961408,1
558140035,921506646735708160,1
786644755,2565091397,1
2913929512,46352298,1
830438448,821364958310977538,1
906114560922460161,604861702,1
22844335,4500566415,1
123705679,926407364303114242,1
499793772,2257917325,1
2976169083,4777974285,1
888999812082933760,997183663,1
337972171,945706548269068294,1
786644755,930705893976616960,1
906114560922460161,899381597811748864,1
337972171,795728166522339329,1
2165241247,707902438460801024,1
196134777,922266376575836160,1
445305950,933313811297206272,1
786644755,55516026,1
627412337,975720924,1
1014963092,849185499512262656,1
445305950,921406164923011074,1
858710047525928960,4204814001,1
1014963092,752607992478961664,1
882675697,14790085,1
627412337,1503922770,1
830438448,376818440,1
3330139223,2789986243,1
46352298,2870723938,1
337972171,98871058,1
876286676,1662014664,1
2573661345,29947731,1
2549528592,789420103787958272,1
123705679,2339346653,1
858710047525928960,572638493,1
2982472295,745948280,1
46352298,2894493687,1
700639918339428353,459520913,1
14169092,947500332984217600,1
2948791281,725579188640583681,1
724160358181642240,914497745477623808,1
123705679,997499114,1
46352298,928534995169415169,1
226550182,785573695947280385,1
123705679,550510477,1
46352298,150987654,1
2734975089,1629244514,1
226550182,296435247,1
2982472295,2614934260,1
2549528592,3135773201,1
786644755,3346550673,1
724160358181642240,2991792424,1
499793772,2437852846,1
627412337,3842395643,1
1014963092,1089059024,1
627412337,935030000180514816,1
2703077037,196646702,1
1014963092,898252127159668740,1
